1 15 1 0.000000 1
2 25 1 10.000000 1
3 36 1 21.000000 1
4 47 1 32.000000 1
5 57 1 42.000000 1
6 53 1 53.000000 1
1 15 3 0.000000 1
2 26 3 27.500000 1
3 37 3 55.000000 1
4 47 3 80.000000 1
5 58 3 107.500000 1
6 53 3 145.000000 0
1 15 3 0.000000 1
2 26 3 27.500000 1
3 37 3 55.000000 1
4 47 3 80.000000 1
5 58 3 107.500000 1
6 53 3 145.000000 0
7 48 3 132.500000 0
8 59 3 110.000000 1
9 52 3 142.500000 0
10 62 3 117.500000 1
11 52 3 142.500000 0
13 58 3 107.500000 1
14 52 3 142.500000 0
15 62 3 117.500000 1
16 56 3 152.500000 0
17 49 3 135.000000 0
18 61 3 115.000000 1
19 56 3 152.500000 0
20 48 3 132.500000 0
21 63 3 120.000000 1
22 56 3 152.500000 0
23 48 3 132.500000 0
24 59 3 110.000000 1
1 15 3 0.000000 1
2 26 3 27.500000 1
3 37 3 55.000000 1
4 47 3 80.000000 1
1 15 3 0.000000 1
2 26 3 27.500000 1
3 37 3 55.000000 1
4 27 3 80.000000 0
5 38 3 57.500000 1
6 33 3 95.000000 0
7 28 3 82.500000 0
8 39 3 60.000000 1
9 32 3 92.500000 0
10 42 3 67.500000 1
11 32 3 92.500000 0
12 26 3 77.500000 0
13 38 3 57.500000 1
14 32 3 92.500000 0
15 42 3 67.500000 1
16 36 3 102.500000 0
17 29 3 85.000000 0
18 41 3 65.000000 1
19 36 3 102.500000 0
20 28 3 82.500000 0
21 28 3 70.000000 0
22 41 3 65.000000 1
23 33 3 95.000000 0
24 24 3 72.500000 0
1 15 3 0.000000 1
2 26 3 27.500000 1
3 37 3 55.000000 1
4 47 3 80.000000 1
5 58 3 107.500000 1
6 53 3 145.000000 0
7 48 3 132.500000 0
8 59 3 110.000000 1
9 52 3 142.500000 0
10 62 3 117.500000 1
11 52 3 142.500000 0
12 46 3 127.500000 0
13 58 3 107.500000 1
14 52 3 142.500000 0
15 62 3 117.500000 1
16 56 3 152.500000 0
17 49 3 135.000000 0
18 61 3 115.000000 1
19 56 3 152.500000 0
20 48 3 132.500000 0
21 63 3 120.000000 1
22 56 3 152.500000 0
23 48 3 132.500000 0
24 59 3 110.000000 1
1 15 3 0.000000 1
2 26 3 27.500000 1
3 37 3 55.000000 1
4 27 3 80.000000 0
5 38 3 57.500000 1
6 33 3 95.000000 0
7 28 3 82.500000 0
8 39 3 60.000000 1
9 32 3 92.500000 0
10 42 3 67.500000 1
11 32 3 92.500000 0
12 26 3 77.500000 0
13 38 3 57.500000 1
14 32 3 92.500000 0
15 42 3 67.500000 1
16 36 3 102.500000 0
17 29 3 85.000000 0
18 41 3 65.000000 1
19 36 3 102.500000 0
20 28 3 82.500000 0
21 43 3 70.000000 1
22 36 3 102.500000 0
23 28 3 82.500000 0
24 39 3 60.000000 1
1 15 3 0.000000 1
2 26 3 27.500000 1
3 37 3 55.000000 1
4 27 3 80.000000 0
5 38 3 57.500000 1
6 33 3 95.000000 0
7 28 3 82.500000 0
1 15 2 0.000000 1
2 26 2 11.000000 1
3 37 2 22.000000 1
4 47 2 32.000000 1
5 58 2 43.000000 1
6 73 2 58.000000 1
7 68 2 73.000000 0
8 59 2 64.000000 0
